"","text","emosi.anger","emosi.anticipation","emosi.disgust","emosi.fear","emosi.joy","emosi.sadness","emosi.surprise","emosi.trust","emosi.negative","emosi.positive"
"1","dua menteri terlibat bisnis r harga tes r ditentukan saat rat kabinet merintah tak ka dengan rakyat",0,0,1,1,0,0,0,0,1,0
"2","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"3","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"4","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"5","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"6","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"7","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"8","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"9","rtselainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbagai h",0,0,0,0,0,0,0,0,0,0
"10","selainint antisisi kementerian bumnbumn juga turut berikan dukungan dan serta koordinasi dengan berbaga ",0,0,0,0,0,0,0,0,0,0
"11","bisnis r ini akibat merintah dulu ",0,0,0,0,0,0,0,0,0,0
"12","merintah mengambi untung dari rakyat dengan bisnis r dalam bungkus nanganan bencana covid rakyat b ",0,0,0,0,0,0,0,0,0,0
"13","buat r gratis baru saya yakin merintah membantu rakyat ta kalau r berbayar bisnis juga itu g ",0,0,0,0,0,0,0,0,0,0
"14","kirin rakyat tes r buat transrtasi kalau gratis ngak masalah ini bayat rakyat tercekikjangan ",0,0,0,0,0,0,0,0,0,0
"15","bosan dengan covid ujung ujungnya bisnis r untung triliunanrakyat yg tersisauang sam ngutang b ",0,0,0,0,0,0,0,0,0,0
"16","dalam kan ini merintahsibuk nyusun konsekmbisnissibuk nyian harga r dan vaksinbooster masy ",0,0,0,0,0,0,0,0,0,0
"17","fhjika ra jabat itu merasa rlu berbisnis seolah ogram merintah bs gagaltdk terlaksanasungguh tdk bi ",0,0,0,0,0,0,0,0,0,0
"18","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"19","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"20","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"21","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"22","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"23","sudah beda jamannya dulu mbangunan tidak sedahsyat ini jadi wajar kalau merintah dulu tidak bi ",0,0,0,0,0,0,0,0,0,0
"24","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"25","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"26","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"27","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"28","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"29","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"30","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"31","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"32","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"33","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"34","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"35","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"36","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"37","rterick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi banyak nega",0,0,0,0,0,0,0,0,0,0
"38","erick thohir mengatakan awal ndemi usaha merintah untuk mendat vaksin sangat keras yaitu dengan melobi bany ",0,0,0,0,0,0,0,0,0,0
"39","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"40","makin ruwet ngusaha masuk litik dan mjd jabat merintah mereka yg buat aturan dan mereka yg be ",0,0,0,0,0,0,0,0,0,0
"41","radikalismeradikalintoleranteroris yg sebenarnya adalah merintah sat oligarki yg terlibat skanda ",0,0,0,0,0,0,0,0,0,0
"42","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"43","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"44","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"45","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"46","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"47","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"48","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"49","rtngusahanya ngeluhmasyrakatnya ngeluhtanggungjawab merintah",0,0,0,0,0,0,0,0,0,0
"50","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"51","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"52","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"53","rtrluasan zona wajib r berbanding lurus dg naiknya laba tes r sia n bisa kaya dg bisnis serti itu ditong",0,0,0,0,0,0,0,0,0,0
"54","rtketua marwan djalil bersama ketua d sulut jimmy tindi ikut hadir mendukung srmi melakukan aksi ke k agar memanggil",0,0,0,0,0,0,0,0,0,0
"55","rtketua marwan djalil bersama ketua d sulut jimmy tindi ikut hadir mendukung srmi melakukan aksi ke k agar memanggil",0,0,0,0,0,0,0,0,0,0
"56","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"57","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"58","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"59","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"60","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"61","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"62","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"63","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"64","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"65","kalo bobrok merintah udah keliatan media akan di tutudengan berita sara bokeartis narkoba ",0,0,0,0,0,0,0,0,0,0
"66","rtngusahanya ngeluhmasyrakatnya ngeluhtanggungjawab merintah",0,0,0,0,0,0,0,0,0,0
"67","rtngusahanya ngeluhmasyrakatnya ngeluhtanggungjawab merintah",0,0,0,0,0,0,0,0,0,0
"68","rtngusahanya ngeluhmasyrakatnya ngeluhtanggungjawab merintah",0,0,0,0,0,0,0,0,0,0
"69","ngusahanya ngeluhmasyrakatnya ngeluhtanggungjawab merintah",0,0,0,0,0,0,0,0,0,0
"70","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"71","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"72","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"73","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"74","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"75","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"76","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"77","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"78","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"79","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"80","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
"81","rtyg korui jabat yg bisnis r jabat yg bikin gaduh jabat yg gagal sejahterakan rakyat merintahtyg kle",0,0,0,0,0,0,0,0,0,0
