"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Dua Menteri terlibat bisnis PCR !

Harga Tes PCR Ditentukan Saat Rapat Kabinet, Pemerintah Tak Peka dengan Rakyat
https://t.co/vOB5vKfSNN",FALSE,0,NA,2021-11-22 15:06:14,FALSE,NA,"1462799591795924993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pasadenasl",0,FALSE,FALSE,NA,NA
"2","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 11:08:49,FALSE,NA,"1462739844463955970",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","callBaja",10,TRUE,FALSE,NA,NA
"3","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 07:51:40,FALSE,NA,"1462690226195685377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2nd_Halff",10,TRUE,FALSE,NA,NA
"4","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 06:27:43,FALSE,NA,"1462669100899966976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuperGalaxy99",10,TRUE,FALSE,NA,NA
"5","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 02:29:29,FALSE,NA,"1462609145928896520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bias_suara",10,TRUE,FALSE,NA,NA
"6","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 02:20:55,FALSE,NA,"1462606992619438080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","topeng_politik",10,TRUE,FALSE,NA,NA
"7","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 02:08:25,FALSE,NA,"1462603847457595394",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","how378_",10,TRUE,FALSE,NA,NA
"8","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 01:12:42,FALSE,NA,"1462589826058784773",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OTONK2000",10,TRUE,FALSE,NA,NA
"9","RT @me_zhu__Yusra: Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbagai pih…",FALSE,0,NA,2021-11-22 01:00:53,FALSE,NA,"1462586853014441986",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlwaysB79",10,TRUE,FALSE,NA,NA
"10","Selain 6 point antisipasi, 
Kementerian BUMN &amp; BUMN juga turut berikan dukungan dan serta koordinasi dengan berbaga… https://t.co/6lnIkPAgmH",FALSE,12,NA,2021-11-21 23:51:41,TRUE,NA,"1462569434824908804",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","me_zhu__Yusra",10,FALSE,FALSE,NA,NA
